Field Name,描述(繁體中文)
dhi_sb_e2,"從事經濟活動的家庭住戶（指家庭住戶內除外籍家庭傭工外至少有一名其他成員從事經濟活動）數目 - 家庭住戶每月收入：港元10,000 - 19,999"
dhi_sb_e3,"從事經濟活動的家庭住戶（指家庭住戶內除外籍家庭傭工外至少有一名其他成員從事經濟活動）數目 - 家庭住戶每月收入：港元20,000 - 39,999"
dhi_sb_e4,"從事經濟活動的家庭住戶（指家庭住戶內除外籍家庭傭工外至少有一名其他成員從事經濟活動）數目 - 家庭住戶每月收入：港元40,000 及以上"
ma_econhh,從事經濟活動的家庭住戶（指家庭住戶內除外籍家庭傭工外至少有一名其他成員從事經濟活動）的家庭住戶每月收入中位數（港元）
dhm_loan,家庭住戶每月按掲供款及借貸還款（港元）中位數
dhm_lr,家庭住戶每月按掲供款及借貸還款與收入比率中位數
dm_r,家庭住戶每月租金（港元）中位數
dmr_ir,家庭住戶每月租金與收入比率中位數
fa_m,家庭住戶的居所樓面面積中位數（平方米）（不包括居於非屋宇單位或船艇的家庭住戶，亦不包括與其他住戶共同佔用的樓面面積）
gml_id,主要屋苑（GML 識別號碼）
